gene,f_score,p_value
ENSG00000135363.12,323.64289379615946,2.3267780265102702e-55
ENSG00000276644.5,322.6159166068737,3.1547449819186528e-55
ENSG00000198075.10,322.60654591633454,3.163525971073707e-55
ENSG00000171777.16,321.22714525169255,4.7645886912915386e-55
ENSG00000131831.18,320.23141917781965,6.406267269878278e-55
ENSG00000282012.1,320.07655041800166,6.708388684584254e-55
ENSG00000004776.13,319.718346503194,7.463162521903432e-55
ENSG00000115896.16,317.8429309876125,1.3052790730740393e-54
ENSG00000178175.12,315.65063295977427,2.5133199853650643e-54
ENSG00000133561.15,314.09891414287364,4.00069558448051e-54
ENSG00000115306.16,310.7511517382929,1.0941559536263574e-53
ENSG00000184005.11,309.1119366506894,1.7935700203777738e-53
ENSG00000088926.14,308.7300153370496,2.0127637921355287e-53
ENSG00000235997.3,308.36817245631244,2.245213747504132e-53
ENSG00000031081.11,308.13194676877094,2.4113304891855615e-53
ENSG00000144843.11,308.1297702806427,2.412917062210461e-53
ENSG00000066405.13,307.6195976433557,2.815290420270794e-53
ENSG00000103647.13,307.5384912522455,2.885199150760323e-53
ENSG00000131471.7,306.5986628605561,3.834386199619319e-53
ENSG00000128849.11,305.5209324609935,5.315283946015489e-53
ENSG00000154175.18,305.33336512167756,5.626404274588189e-53
ENSG00000164161.10,304.97120121740807,6.279840358401798e-53
ENSG00000276850.5,304.56219240982443,7.10993393511269e-53
ENSG00000186417.14,304.05015721269956,8.3062395943887625e-53
ENSG00000157734.14,303.79816909804697,8.967244311490842e-53
ENSG00000173706.14,303.1051836593125,1.1070518190225237e-52
ENSG00000198576.4,302.8740203881667,1.1877132465855604e-52
ENSG00000197415.12,302.2825561100462,1.4220144583481278e-52
ENSG00000164764.11,301.76086923062115,1.6669481047529637e-52
ENSG00000168477.19,301.5246298552258,1.7913959311120615e-52
ENSG00000137507.11,301.1892378358798,1.984275376331076e-52
ENSG00000196616.14,301.0379026634186,2.0780076020806618e-52
ENSG00000182253.15,300.41901286786975,2.5099438707131417e-52
ENSG00000184347.15,299.83433375360016,3.0006026469577656e-52
ENSG00000159723.5,299.217787786841,3.622796942452116e-52
ENSG00000261338.2,298.33668488651193,4.743621728981635e-52
ENSG00000197256.11,298.10400619424223,5.093861644612709e-52
ENSG00000175084.12,296.7670655970604,7.673467086086003e-52
ENSG00000237413.5,296.6360983643742,7.988036447050053e-52
ENSG00000114200.10,296.30844692390934,8.832941585252636e-52
ENSG00000163687.14,295.8623221201206,1.0129540392603882e-51
ENSG00000185010.15,295.7983565004493,1.0330504224858301e-51
ENSG00000171611.10,295.2377249906242,1.2272409371558268e-51
ENSG00000126785.13,295.1120819278206,1.2755653928968925e-51
ENSG00000080546.13,294.3889992798266,1.5932571987049396e-51
ENSG00000168907.13,294.09677960462415,1.7431884162098282e-51
ENSG00000167874.7,293.4470585681458,2.1293206957714933e-51
ENSG00000137726.17,293.24632262689676,2.2651845245707118e-51
ENSG00000187800.13,292.9822807374415,2.4572458118870762e-51
ENSG00000117069.15,290.8586873329198,4.733332782161785e-51
